smiles,compound_ID
CN(C)CCCN1c2ccccc2CCc2ccccc21,222
COC(=O)C1=C(C)NC(C)=C(C(=O)OC)C1c1ccccc1[N+](=O)[O-],223
CN1[C@H]2CC[C@@H]1C[C@H](OC(=O)C(CO)c1ccccc1)C2,224
CCN(CC)CCNC(=O)c1cc(Cl)c(N)cc1OC,225
Cc1nnc2n1-c1ccc(Cl)cc1C(c1ccccc1Cl)=NC2,227
O=C(c1ccc(F)cc1)C1CCN(CCn2c(=O)[nH]c3ccccc3c2=O)CC1,228
COc1cc2c(c(OC)c1OC)-c1ccc(OC)c(=O)cc1C(NC(C)=O)CC2,229
CNCCCC12CCC(c3ccccc31)c1ccccc12,230
CCOC(=O)C1(c2ccccc2)CCN(C)CC1,231
Cn1cnc([N+](=O)[O-])c1Sc1ncnc2nc[nH]c12,232
Nc1nc(N)c2nc(-c3ccccc3)c(N)nc2n1,233
O=C(O)Cc1ccccc1Nc1c(Cl)cccc1Cl,234
CNCCC=C1c2ccccc2CCc2ccccc21,235
CC(C)N=c1cc2n(-c3ccc(Cl)cc3)c3ccccc3nc-2cc1Nc1ccc(Cl)cc1,236
CNCCC(Oc1ccc(C(F)(F)F)cc1)c1ccccc1,237
O=C(CCCN1CCC(O)(c2ccc(Cl)cc2)CC1)c1ccc(F)cc1,238
Cc1ccc(C(=O)c2cc(O)c(O)c([N+](=O)[O-])c2)cc1,239
NS(=O)(=O)c1cc(C2(O)NC(=O)c3ccccc32)ccc1Cl,240
COc1cc2nc(N3CCN(C(=O)c4ccco4)CC3)nc(N)c2cc1OC,241
NS(=O)(=O)c1cc(C(=O)O)c(NCc2ccco2)cc1Cl,242
NC(=O)N1c2ccccc2C=Cc2ccccc21,243
O=C(O)c1cn(C2CC2)c2cc(N3CCNCC3)c(F)cc2c1=O,244
NS(=O)(=O)c1cc2c(cc1Cl)NCNS2(=O)=O,245
OC(CCN1CCCC1)(c1ccccc1)C1CCCCC1,246
COc1ccc(Cl)cc1C(=O)NCCc1ccc(S(=O)(=O)NC(=O)NC2CCCCC2)cc1,248
O=C(O)CCC(=O)c1ccc(-c2ccccc2)cc1,249
O=C(O)CCCc1ccc(N(CCCl)CCCl)cc1,251
Cc1onc(-c2ccccc2)c1-c1ccc(S(N)(=O)=O)cc1,252
CC(C)N(CCC(C(N)=O)(c1ccccc1)c1ccccn1)C(C)C,253
CC(=O)Nc1ccc(O)cc1,254
CCCc1cc(=O)[nH]c(=S)[nH]1,255
